"","name","updated","value","date","year","month","week"
"19","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",6.102,2022-06-27,2022,6,26
"20","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",6.167,2022-06-20,2022,6,25
"21","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",6.225,2022-06-13,2022,6,24
"22","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",6.134,2022-06-06,2022,6,23
"23","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",5.942,2022-05-30,2022,5,22
"24","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",5.857,2022-05-23,2022,5,21
"25","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",5.765,2022-05-16,2022,5,20
"26","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",5.634,2022-05-09,2022,5,19
"27","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",5.545,2022-05-02,2022,5,18
"28","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",5.525,2022-04-25,2022,4,17
"29","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",5.574,2022-04-18,2022,4,16
"30","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",5.641,2022-04-11,2022,4,15
"31","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",5.752,2022-04-04,2022,4,14
"32","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",5.831,2022-03-28,2022,3,13
"33","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",5.74,2022-03-21,2022,3,12
"34","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",5.603,2022-03-14,2022,3,11
"35","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",5.203,2022-03-07,2022,3,10
"36","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.671,2022-02-28,2022,2,9
"37","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.557,2022-02-21,2022,2,8
"38","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.531,2022-02-14,2022,2,7
"39","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.499,2022-02-07,2022,2,6
"40","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.476,2022-01-31,2022,1,5
"41","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.46,2022-01-24,2022,1,4
"42","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.476,2022-01-17,2022,1,3
"43","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.478,2022-01-10,2022,1,2
"44","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.474,2022-01-03,2022,1,1
"45","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.456,2021-12-27,2021,12,52
"46","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.462,2021-12-20,2021,12,51
"47","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.477,2021-12-13,2021,12,50
"48","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.495,2021-12-06,2021,12,49
"49","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.52,2021-11-29,2021,11,48
"50","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.515,2021-11-22,2021,11,47
"51","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.492,2021-11-15,2021,11,46
"52","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.406,2021-11-08,2021,11,45
"53","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.385,2021-11-01,2021,11,44
"54","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.369,2021-10-25,2021,10,43
"55","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.308,2021-10-18,2021,10,42
"56","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.232,2021-10-11,2021,10,41
"57","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.206,2021-10-04,2021,10,40
"58","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.199,2021-09-27,2021,9,39
"59","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.184,2021-09-20,2021,9,38
"60","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.185,2021-09-13,2021,9,37
"61","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.185,2021-09-06,2021,9,36
"62","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.187,2021-08-30,2021,8,35
"63","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.19,2021-08-23,2021,8,34
"64","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.2,2021-08-16,2021,8,33
"65","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.189,2021-08-09,2021,8,32
"66","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.181,2021-08-02,2021,8,31
"67","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.166,2021-07-26,2021,7,30
"68","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.167,2021-07-19,2021,7,29
"69","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.151,2021-07-12,2021,7,28
"70","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.116,2021-07-05,2021,7,27
"71","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.093,2021-06-28,2021,6,26
"72","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.064,2021-06-21,2021,6,25
"73","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.068,2021-06-14,2021,6,24
"74","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.069,2021-06-07,2021,6,23
"75","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",4.043,2021-05-31,2021,5,22
"76","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.987,2021-05-24,2021,5,21
"77","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.966,2021-05-17,2021,5,20
"78","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.943,2021-05-10,2021,5,19
"79","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.902,2021-05-03,2021,5,18
"80","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.857,2021-04-26,2021,4,17
"81","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.825,2021-04-19,2021,4,16
"82","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.789,2021-04-12,2021,4,15
"83","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.782,2021-04-05,2021,4,14
"84","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.756,2021-03-29,2021,3,13
"85","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.765,2021-03-22,2021,3,12
"86","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.734,2021-03-15,2021,3,11
"87","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.655,2021-03-08,2021,3,10
"88","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.588,2021-03-01,2021,3,9
"89","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.482,2021-02-22,2021,2,8
"90","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.372,2021-02-15,2021,2,7
"91","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.338,2021-02-08,2021,2,6
"92","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.274,2021-02-01,2021,2,5
"93","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.226,2021-01-25,2021,1,4
"94","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.186,2021-01-18,2021,1,3
"95","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.107,2021-01-11,2021,1,2
"96","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.063,2021-01-04,2021,1,1
"97","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.046,2020-12-28,2020,12,53
"98","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",3.018,2020-12-21,2020,12,52
"99","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",2.992,2020-12-14,2020,12,51
"100","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-10-31T18:33:01-0400",2.984,2020-12-07,2020,12,50
