"","name","updated","value","date","year","month","week"
"24","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.426,2022-08-01,2022,8,31
"25","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.52,2022-07-25,2022,7,30
"26","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.677,2022-07-18,2022,7,29
"27","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.873,2022-07-11,2022,7,28
"28","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",6.028,2022-07-04,2022,7,27
"29","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",6.102,2022-06-27,2022,6,26
"30","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",6.167,2022-06-20,2022,6,25
"31","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",6.225,2022-06-13,2022,6,24
"32","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",6.134,2022-06-06,2022,6,23
"33","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.942,2022-05-30,2022,5,22
"34","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.857,2022-05-23,2022,5,21
"35","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.765,2022-05-16,2022,5,20
"36","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.634,2022-05-09,2022,5,19
"37","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.545,2022-05-02,2022,5,18
"38","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.525,2022-04-25,2022,4,17
"39","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.574,2022-04-18,2022,4,16
"40","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.641,2022-04-11,2022,4,15
"41","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.752,2022-04-04,2022,4,14
"42","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.831,2022-03-28,2022,3,13
"43","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.74,2022-03-21,2022,3,12
"44","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.603,2022-03-14,2022,3,11
"45","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",5.203,2022-03-07,2022,3,10
"46","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.671,2022-02-28,2022,2,9
"47","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.557,2022-02-21,2022,2,8
"48","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.531,2022-02-14,2022,2,7
"49","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.499,2022-02-07,2022,2,6
"50","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.476,2022-01-31,2022,1,5
"51","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.46,2022-01-24,2022,1,4
"52","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.476,2022-01-17,2022,1,3
"53","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.478,2022-01-10,2022,1,2
"54","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.474,2022-01-03,2022,1,1
"55","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.456,2021-12-27,2021,12,52
"56","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.462,2021-12-20,2021,12,51
"57","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.477,2021-12-13,2021,12,50
"58","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.495,2021-12-06,2021,12,49
"59","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.52,2021-11-29,2021,11,48
"60","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.515,2021-11-22,2021,11,47
"61","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.492,2021-11-15,2021,11,46
"62","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.406,2021-11-08,2021,11,45
"63","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.385,2021-11-01,2021,11,44
"64","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.369,2021-10-25,2021,10,43
"65","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.308,2021-10-18,2021,10,42
"66","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.232,2021-10-11,2021,10,41
"67","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.206,2021-10-04,2021,10,40
"68","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.199,2021-09-27,2021,9,39
"69","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.184,2021-09-20,2021,9,38
"70","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.185,2021-09-13,2021,9,37
"71","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.185,2021-09-06,2021,9,36
"72","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.187,2021-08-30,2021,8,35
"73","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.19,2021-08-23,2021,8,34
"74","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.2,2021-08-16,2021,8,33
"75","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.189,2021-08-09,2021,8,32
"76","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.181,2021-08-02,2021,8,31
"77","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.166,2021-07-26,2021,7,30
"78","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.167,2021-07-19,2021,7,29
"79","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.151,2021-07-12,2021,7,28
"80","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.116,2021-07-05,2021,7,27
"81","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.093,2021-06-28,2021,6,26
"82","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.064,2021-06-21,2021,6,25
"83","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.068,2021-06-14,2021,6,24
"84","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.069,2021-06-07,2021,6,23
"85","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",4.043,2021-05-31,2021,5,22
"86","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.987,2021-05-24,2021,5,21
"87","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.966,2021-05-17,2021,5,20
"88","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.943,2021-05-10,2021,5,19
"89","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.902,2021-05-03,2021,5,18
"90","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.857,2021-04-26,2021,4,17
"91","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.825,2021-04-19,2021,4,16
"92","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.789,2021-04-12,2021,4,15
"93","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.782,2021-04-05,2021,4,14
"94","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.756,2021-03-29,2021,3,13
"95","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.765,2021-03-22,2021,3,12
"96","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.734,2021-03-15,2021,3,11
"97","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.655,2021-03-08,2021,3,10
"98","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.588,2021-03-01,2021,3,9
"99","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.482,2021-02-22,2021,2,8
"100","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2023-01-09T19:35:23-0500",3.372,2021-02-15,2021,2,7
